OpenJDK 64-Bit Server VM (25.412-b1) for windows-amd64 JRE (1.8.0_412-b1), built on Apr 23 2024 12:00:37 by "Administrator" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16485540k(8761460k free), swap 28358524k(12358588k free)
CommandLine flags: -XX:ActiveProcessorCount=8 -XX:InitialHeapSize=8589934592 -XX:MaxHeapSize=8589934592 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
535.628: [GC (Allocation Failure) [PSYoungGen: 1129919K->130527K(1864192K)] 3474293K->2606564K(7456768K), 0.0813166 secs] [Times: user=0.55 sys=0.08, real=0.08 secs] 
547.637: [GC (Allocation Failure) [PSYoungGen: 1062879K->63247K(1864192K)] 3538916K->2665313K(7456768K), 0.0651590 secs] [Times: user=0.41 sys=0.09, real=0.07 secs] 
563.490: [GC (Allocation Failure) [PSYoungGen: 995599K->61055K(1864192K)] 3597665K->2722501K(7456768K), 0.1627943 secs] [Times: user=0.33 sys=0.01, real=0.16 secs] 
579.279: [GC (Allocation Failure) [PSYoungGen: 993407K->77887K(1864192K)] 3654853K->2798993K(7456768K), 0.0429812 secs] [Times: user=0.36 sys=0.02, real=0.04 secs] 
589.533: [GC (Allocation Failure) [PSYoungGen: 1010239K->80351K(1864192K)] 3731345K->2874590K(7456768K), 0.0424455 secs] [Times: user=0.25 sys=0.00, real=0.04 secs] 
599.349: [GC (Allocation Failure) [PSYoungGen: 1012703K->74063K(1864192K)] 3806942K->2941497K(7456768K), 0.0637910 secs] [Times: user=0.36 sys=0.14, real=0.06 secs] 
609.289: [GC (GCLocker Initiated GC) [PSYoungGen: 1006415K->75935K(1864192K)] 3873849K->3010580K(7456768K), 0.0519539 secs] [Times: user=0.31 sys=0.06, real=0.05 secs] 
618.840: [GC (Allocation Failure) [PSYoungGen: 1008287K->72511K(1864192K)] 3942934K->3076846K(7456768K), 0.0478541 secs] [Times: user=0.34 sys=0.03, real=0.05 secs] 
628.580: [GC (Allocation Failure) [PSYoungGen: 1004863K->74751K(1864192K)] 4009198K->3145980K(7456768K), 0.0458813 secs] [Times: user=0.20 sys=0.06, real=0.04 secs] 
638.304: [GC (Allocation Failure) [PSYoungGen: 1007103K->140831K(1933312K)] 4078332K->3212060K(7525888K), 0.0398880 secs] [Times: user=0.25 sys=0.00, real=0.04 secs] 
648.473: [GC (Allocation Failure) [PSYoungGen: 1161759K->208671K(1883648K)] 4232988K->3279900K(7476224K), 0.0604794 secs] [Times: user=0.38 sys=0.00, real=0.06 secs] 
658.761: [GC (Allocation Failure) [PSYoungGen: 1229599K->275519K(2032640K)] 4300828K->3346748K(7625216K), 0.0715462 secs] [Times: user=0.63 sys=0.00, real=0.07 secs] 
671.175: [GC (Allocation Failure) [PSYoungGen: 1504319K->359055K(1992192K)] 4575548K->3430292K(7584768K), 0.0924671 secs] [Times: user=0.64 sys=0.00, real=0.09 secs] 
